관중통계(전체현황),,,,,,,,,,,,
"선택항목 : 단체 : KBO   시즌 : 2021,2022,2023,2024  시즌구분  : 전체   구단구분 : 전체     요일 :   undefined :  undefined :",,,,,,,,,,,,
단체,리그,시즌,연도,월,일,요일,홈팀,원정팀,경기장,날씨,평균기온,관중수
KBO,정규리그,2023 시즌,2023,09,08,금,키움히어로즈,한화,서울고척스카이돔,맑음,30.5℃,"7,715"
KBO,정규리그,2023 시즌,2023,09,07,목,롯데,삼성,울산문수야구장,구름조금,23.5℃,"7,156"
KBO,정규리그,2023 시즌,2023,09,07,목,한화,SSG,대전 한화생명 이글스파크,맑음,30.1℃,"7,236"
KBO,정규리그,2023 시즌,2023,09,07,목,KT,LG,수원케이티위즈파크,맑음,31.2℃,"10,799"
KBO,정규리그,2023 시즌,2023,09,07,목,NC,키움히어로즈,창원NC파크,맑음,30.1℃,"4,780"
KBO,정규리그,2023 시즌,2023,09,07,목,두산,KIA,서울 잠실 야구장,맑음,31.6℃,"21,838"
KBO,정규리그,2023 시즌,2023,09,06,수,두산,KIA,서울 잠실 야구장,맑음,32.1℃,"20,468"
KBO,정규리그,2023 시즌,2023,09,06,수,NC,키움히어로즈,창원NC파크,구름조금,31.3℃,"4,269"
KBO,정규리그,2023 시즌,2023,09,06,수,KT,LG,수원케이티위즈파크,맑음,31.7℃,"10,075"
KBO,정규리그,2023 시즌,2023,09,06,수,한화,SSG,대전 한화생명 이글스파크,맑음,31.3℃,"7,213"
KBO,정규리그,2023 시즌,2023,09,06,수,롯데,삼성,울산문수야구장,구름많음,24.6℃,"6,380"
KBO,정규리그,2023 시즌,2023,09,05,화,두산,KIA,서울 잠실 야구장,구름많음,32.8℃,0
KBO,정규리그,2023 시즌,2023,09,05,화,NC,키움히어로즈,창원NC파크,구름많음,31.5℃,"3,511"
KBO,정규리그,2023 시즌,2023,09,05,화,KT,LG,수원케이티위즈파크,구름조금,32.5℃,"10,153"
KBO,정규리그,2023 시즌,2023,09,05,화,한화,SSG,대전 한화생명 이글스파크,구름많음,31.2℃,"5,124"
KBO,정규리그,2023 시즌,2023,09,05,화,롯데,삼성,울산문수야구장,구름조금,25.1℃,"5,999"
KBO,정규리그,2023 시즌,2023,09,04,월,롯데,두산,부산 사직 야구장,구름조금,30.9℃,"4,621"
KBO,정규리그,2023 시즌,2023,09,03,일,LG,한화,서울 잠실 야구장,비,28.8℃,"22,858"
KBO,정규리그,2023 시즌,2023,09,03,일,SSG,KIA,인천SSG 랜더스필드,흐림,28.4℃,"23,000"
KBO,정규리그,2023 시즌,2023,09,03,일,롯데,두산,부산 사직 야구장,구름조금,30.7℃,"11,436"
KBO,정규리그,2023 시즌,2023,09,03,일,삼성,NC,대구 삼성 라이온즈 파크,구름많음,31.8℃,"14,601"
KBO,정규리그,2023 시즌,2023,09,03,일,키움히어로즈,KT,서울고척스카이돔,비,28.8℃,"5,778"
KBO,정규리그,2023 시즌,2023,09,02,토,키움히어로즈,KT,서울고척스카이돔,구름조금,30.8℃,"6,731"
KBO,정규리그,2023 시즌,2023,09,02,토,삼성,NC,대구 삼성 라이온즈 파크,비,28.9℃,"20,468"
KBO,정규리그,2023 시즌,2023,09,02,토,롯데,두산,부산 사직 야구장,비,27.1℃,0
KBO,정규리그,2023 시즌,2023,09,02,토,SSG,KIA,인천SSG 랜더스필드,구름많음,29.1℃,"23,000"
KBO,정규리그,2023 시즌,2023,09,02,토,LG,한화,서울 잠실 야구장,구름조금,30.8℃,"23,574"
KBO,정규리그,2023 시즌,2023,09,01,금,LG,한화,서울 잠실 야구장,맑음,29.6℃,"20,381"
KBO,정규리그,2023 시즌,2023,09,01,금,SSG,KIA,인천SSG 랜더스필드,맑음,28.3℃,"17,281"
KBO,정규리그,2023 시즌,2023,09,01,금,롯데,두산,부산 사직 야구장,비,25.4℃,0
KBO,정규리그,2023 시즌,2023,09,01,금,삼성,NC,대구 삼성 라이온즈 파크,흐림,30.2℃,"12,843"
KBO,정규리그,2023 시즌,2023,09,01,금,키움히어로즈,KT,서울고척스카이돔,맑음,29.6℃,"3,746"
KBO,정규리그,2023 시즌,2023,08,31,목,LG,두산,서울 잠실 야구장,구름많음,28.9℃,"17,859"
KBO,정규리그,2023 시즌,2023,08,31,목,SSG,키움히어로즈,인천SSG 랜더스필드,구름많음,23.6℃,"9,780"
KBO,정규리그,2023 시즌,2023,08,31,목,KT,삼성,수원케이티위즈파크,구름많음,22.7℃,"8,071"
KBO,정규리그,2023 시즌,2023,08,31,목,KIA,NC,광주-기아 챔피언스 필드,비,28.9℃,"7,152"
KBO,정규리그,2023 시즌,2023,08,31,목,한화,롯데,대전 한화생명 이글스파크,구름많음,22.5℃,"7,179"
KBO,정규리그,2023 시즌,2023,08,30,수,한화,롯데,대전 한화생명 이글스파크,비,22.7,"7,809"
KBO,정규리그,2023 시즌,2023,08,30,수,KIA,NC,광주-기아 챔피언스 필드,비,23.6℃,0
KBO,정규리그,2023 시즌,2023,08,30,수,KT,삼성,수원케이티위즈파크,비,25.1℃,0
KBO,정규리그,2023 시즌,2023,08,30,수,SSG,키움히어로즈,인천SSG 랜더스필드,비,24.3℃,0
KBO,정규리그,2023 시즌,2023,08,30,수,LG,두산,서울 잠실 야구장,비,24.5℃,0
KBO,정규리그,2023 시즌,2023,08,29,화,LG,두산,서울 잠실 야구장,비,25.5℃,0
KBO,정규리그,2023 시즌,2023,08,29,화,SSG,키움히어로즈,인천SSG 랜더스필드,비,25.5℃,0
KBO,정규리그,2023 시즌,2023,08,29,화,KT,삼성,수원케이티위즈파크,비,26.9℃,0
KBO,정규리그,2023 시즌,2023,08,29,화,KIA,NC,광주-기아 챔피언스 필드,비,28.9℃,0
KBO,정규리그,2023 시즌,2023,08,29,화,한화,롯데,대전 한화생명 이글스파크,비,28℃,0
KBO,정규리그,2023 시즌,2023,08,27,일,두산,SSG,서울 잠실 야구장,흐림,29.6℃,"11,300"
KBO,정규리그,2023 시즌,2023,08,27,일,롯데,KT,부산 사직 야구장,구름조금,32℃,"10,735"
KBO,정규리그,2023 시즌,2023,08,27,일,삼성,키움히어로즈,대구 삼성 라이온즈 파크,비,30.9℃,"13,461"
